Campaign,Ad group,Keyword,Match type,Level
Eletrônica Smart TV — Search,,grátis,Broad,Campaign
Eletrônica Smart TV — Search,,gratuito,Broad,Campaign
Eletrônica Smart TV — Search,,gratuita,Broad,Campaign
Eletrônica Smart TV — Search,,garantia de fábrica,Phrase,Campaign
Eletrônica Smart TV — Search,,em garantia,Phrase,Campaign
Eletrônica Smart TV — Search,,geladeira,Broad,Campaign
Eletrônica Smart TV — Search,,máquina de lavar,Phrase,Campaign
Eletrônica Smart TV — Search,,lavadora,Broad,Campaign
Eletrônica Smart TV — Search,,ar condicionado,Phrase,Campaign
Eletrônica Smart TV — Search,,computador,Broad,Campaign
Eletrônica Smart TV — Search,,notebook,Broad,Campaign
Eletrônica Smart TV — Search,,celular,Broad,Campaign
Eletrônica Smart TV — Search,,smartphone,Broad,Campaign
Eletrônica Smart TV — Search,,tablet,Broad,Campaign
Eletrônica Smart TV — Search,,curso,Broad,Campaign
Eletrônica Smart TV — Search,,manual,Broad,Campaign
Eletrônica Smart TV — Search,,como fazer eu mesmo,Phrase,Campaign
Eletrônica Smart TV — Search,,DIY,Broad,Campaign
Eletrônica Smart TV — Search,,vagas,Broad,Campaign
Eletrônica Smart TV — Search,,emprego,Broad,Campaign
Eletrônica Smart TV — Search,,comprar TV,Phrase,Campaign
Eletrônica Smart TV — Search,,TV nova,Phrase,Campaign
Eletrônica Smart TV — Search,,preço TV,Phrase,Campaign
Eletrônica Smart TV — Search,,YouTube,Broad,Campaign
Eletrônica Smart TV — Search,,Netflix,Broad,Campaign
Eletrônica Smart TV — Search,,Shopee,Broad,Campaign
Eletrônica Smart TV — Search,,Americanas,Broad,Campaign
Eletrônica Smart TV — Search,,Magazine Luiza,Phrase,Campaign
Eletrônica Smart TV — Search,,diagnóstico gratuito,Phrase,Campaign
Eletrônica Smart TV — Search,,orçamento grátis,Phrase,Campaign
